case_id,image_path,mask_path,boxes_path
training_glioma_Tr-gl_1020,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1020.jpg,,
training_glioma_Tr-gl_1021,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1021.jpg,,
training_glioma_Tr-gl_1022,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1022.jpg,,
training_glioma_Tr-gl_1023,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1023.jpg,,
training_glioma_Tr-gl_1024,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1024.jpg,,
training_glioma_Tr-gl_1025,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1025.jpg,,
training_glioma_Tr-gl_1026,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1026.jpg,,
training_glioma_Tr-gl_1027,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1027.jpg,,
training_glioma_Tr-gl_1028,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1028.jpg,,
training_glioma_Tr-gl_1029,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1029.jpg,,
training_glioma_Tr-gl_103,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_103.jpg,,
training_glioma_Tr-gl_1030,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1030.jpg,,
training_glioma_Tr-gl_1031,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1031.jpg,,
training_glioma_Tr-gl_1032,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1032.jpg,,
training_glioma_Tr-gl_1033,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1033.jpg,,
training_glioma_Tr-gl_1034,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1034.jpg,,
training_glioma_Tr-gl_1035,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1035.jpg,,
training_glioma_Tr-gl_1036,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1036.jpg,,
training_glioma_Tr-gl_1037,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1037.jpg,,
training_glioma_Tr-gl_1038,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1038.jpg,,
training_glioma_Tr-gl_1039,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1039.jpg,,
training_glioma_Tr-gl_104,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_104.jpg,,
training_glioma_Tr-gl_1040,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1040.jpg,,
training_glioma_Tr-gl_1041,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1041.jpg,,
training_glioma_Tr-gl_1042,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1042.jpg,,
training_glioma_Tr-gl_1043,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1043.jpg,,
training_glioma_Tr-gl_1044,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1044.jpg,,
training_glioma_Tr-gl_1045,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1045.jpg,,
training_glioma_Tr-gl_1046,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1046.jpg,,
training_glioma_Tr-gl_1047,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1047.jpg,,
training_glioma_Tr-gl_1048,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1048.jpg,,
training_glioma_Tr-gl_1049,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1049.jpg,,
training_glioma_Tr-gl_105,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_105.jpg,,
training_glioma_Tr-gl_1050,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1050.jpg,,
training_glioma_Tr-gl_1051,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1051.jpg,,
training_glioma_Tr-gl_1052,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1052.jpg,,
training_glioma_Tr-gl_1053,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1053.jpg,,
training_glioma_Tr-gl_1054,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1054.jpg,,
training_glioma_Tr-gl_1055,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1055.jpg,,
training_glioma_Tr-gl_1056,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1056.jpg,,
training_glioma_Tr-gl_1057,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1057.jpg,,
training_glioma_Tr-gl_1058,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1058.jpg,,
training_glioma_Tr-gl_1059,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1059.jpg,,
training_glioma_Tr-gl_106,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_106.jpg,,
training_glioma_Tr-gl_1060,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1060.jpg,,
training_glioma_Tr-gl_1061,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1061.jpg,,
training_glioma_Tr-gl_1062,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1062.jpg,,
training_glioma_Tr-gl_1063,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1063.jpg,,
training_glioma_Tr-gl_1064,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1064.jpg,,
training_glioma_Tr-gl_1065,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1065.jpg,,
training_glioma_Tr-gl_1066,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1066.jpg,,
training_glioma_Tr-gl_1067,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1067.jpg,,
training_glioma_Tr-gl_1068,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1068.jpg,,
training_glioma_Tr-gl_1069,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1069.jpg,,
training_glioma_Tr-gl_107,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_107.jpg,,
training_glioma_Tr-gl_1070,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1070.jpg,,
training_glioma_Tr-gl_1071,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1071.jpg,,
training_glioma_Tr-gl_1072,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1072.jpg,,
training_glioma_Tr-gl_1073,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1073.jpg,,
training_glioma_Tr-gl_1074,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1074.jpg,,
training_glioma_Tr-gl_1075,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1075.jpg,,
training_glioma_Tr-gl_1076,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1076.jpg,,
training_glioma_Tr-gl_1077,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1077.jpg,,
training_glioma_Tr-gl_1078,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1078.jpg,,
training_glioma_Tr-gl_1079,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1079.jpg,,
training_glioma_Tr-gl_108,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_108.jpg,,
training_glioma_Tr-gl_1080,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1080.jpg,,
training_glioma_Tr-gl_1081,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1081.jpg,,
training_glioma_Tr-gl_1082,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1082.jpg,,
training_glioma_Tr-gl_1083,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1083.jpg,,
training_glioma_Tr-gl_1084,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1084.jpg,,
training_glioma_Tr-gl_1085,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1085.jpg,,
training_glioma_Tr-gl_1086,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1086.jpg,,
training_glioma_Tr-gl_1087,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1087.jpg,,
training_glioma_Tr-gl_1088,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1088.jpg,,
training_glioma_Tr-gl_1089,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1089.jpg,,
training_glioma_Tr-gl_109,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_109.jpg,,
training_glioma_Tr-gl_1090,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1090.jpg,,
training_glioma_Tr-gl_1091,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1091.jpg,,
training_glioma_Tr-gl_1092,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1092.jpg,,
training_glioma_Tr-gl_1093,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1093.jpg,,
training_glioma_Tr-gl_1094,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1094.jpg,,
training_glioma_Tr-gl_1095,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1095.jpg,,
training_glioma_Tr-gl_1096,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1096.jpg,,
training_glioma_Tr-gl_1097,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1097.jpg,,
training_glioma_Tr-gl_1098,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1098.jpg,,
training_glioma_Tr-gl_1099,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1099.jpg,,
training_glioma_Tr-gl_11,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_11.jpg,,
training_glioma_Tr-gl_110,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_110.jpg,,
training_glioma_Tr-gl_1100,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1100.jpg,,
training_glioma_Tr-gl_1101,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1101.jpg,,
training_glioma_Tr-gl_1102,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1102.jpg,,
training_glioma_Tr-gl_1103,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1103.jpg,,
training_glioma_Tr-gl_1104,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1104.jpg,,
training_glioma_Tr-gl_1105,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1105.jpg,,
training_glioma_Tr-gl_1106,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1106.jpg,,
training_glioma_Tr-gl_1107,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1107.jpg,,
training_glioma_Tr-gl_1108,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1108.jpg,,
training_glioma_Tr-gl_1109,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1109.jpg,,
training_glioma_Tr-gl_111,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_111.jpg,,
training_glioma_Tr-gl_1110,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1110.jpg,,
training_glioma_Tr-gl_1111,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1111.jpg,,
training_glioma_Tr-gl_1112,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1112.jpg,,
training_glioma_Tr-gl_1113,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1113.jpg,,
training_glioma_Tr-gl_1114,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1114.jpg,,
training_glioma_Tr-gl_1115,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1115.jpg,,
training_glioma_Tr-gl_1116,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1116.jpg,,
training_glioma_Tr-gl_1117,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1117.jpg,,
training_glioma_Tr-gl_1118,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1118.jpg,,
training_glioma_Tr-gl_1119,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1119.jpg,,
training_glioma_Tr-gl_112,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_112.jpg,,
training_glioma_Tr-gl_1120,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1120.jpg,,
training_glioma_Tr-gl_1121,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1121.jpg,,
training_glioma_Tr-gl_1122,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1122.jpg,,
training_glioma_Tr-gl_1123,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1123.jpg,,
training_glioma_Tr-gl_1124,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1124.jpg,,
training_glioma_Tr-gl_1125,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1125.jpg,,
training_glioma_Tr-gl_1126,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1126.jpg,,
training_glioma_Tr-gl_1127,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1127.jpg,,
training_glioma_Tr-gl_1128,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1128.jpg,,
training_glioma_Tr-gl_1129,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1129.jpg,,
training_glioma_Tr-gl_113,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_113.jpg,,
training_glioma_Tr-gl_1130,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1130.jpg,,
training_glioma_Tr-gl_1131,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1131.jpg,,
training_glioma_Tr-gl_1132,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1132.jpg,,
training_glioma_Tr-gl_1133,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1133.jpg,,
training_glioma_Tr-gl_1134,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1134.jpg,,
training_glioma_Tr-gl_1135,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1135.jpg,,
training_glioma_Tr-gl_1136,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1136.jpg,,
training_glioma_Tr-gl_1137,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1137.jpg,,
training_glioma_Tr-gl_1138,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1138.jpg,,
training_glioma_Tr-gl_1139,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1139.jpg,,
training_glioma_Tr-gl_114,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_114.jpg,,
training_glioma_Tr-gl_1140,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1140.jpg,,
training_glioma_Tr-gl_1141,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1141.jpg,,
training_glioma_Tr-gl_1142,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1142.jpg,,
training_glioma_Tr-gl_1143,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1143.jpg,,
training_glioma_Tr-gl_1144,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1144.jpg,,
training_glioma_Tr-gl_1145,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1145.jpg,,
training_glioma_Tr-gl_1146,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1146.jpg,,
training_glioma_Tr-gl_1147,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1147.jpg,,
training_glioma_Tr-gl_1148,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1148.jpg,,
training_glioma_Tr-gl_1149,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1149.jpg,,
training_glioma_Tr-gl_115,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_115.jpg,,
training_glioma_Tr-gl_1150,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1150.jpg,,
training_glioma_Tr-gl_1151,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1151.jpg,,
training_glioma_Tr-gl_1152,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1152.jpg,,
training_glioma_Tr-gl_1153,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1153.jpg,,
training_glioma_Tr-gl_1154,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1154.jpg,,
training_glioma_Tr-gl_1155,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1155.jpg,,
training_glioma_Tr-gl_1156,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1156.jpg,,
training_glioma_Tr-gl_1157,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1157.jpg,,
training_glioma_Tr-gl_1158,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1158.jpg,,
training_glioma_Tr-gl_1159,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1159.jpg,,
training_glioma_Tr-gl_116,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_116.jpg,,
training_glioma_Tr-gl_1160,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1160.jpg,,
training_glioma_Tr-gl_1161,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1161.jpg,,
training_glioma_Tr-gl_1162,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1162.jpg,,
training_glioma_Tr-gl_1163,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1163.jpg,,
training_glioma_Tr-gl_1164,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1164.jpg,,
training_glioma_Tr-gl_1165,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1165.jpg,,
training_glioma_Tr-gl_1166,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1166.jpg,,
training_glioma_Tr-gl_1167,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1167.jpg,,
training_glioma_Tr-gl_1168,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1168.jpg,,
training_glioma_Tr-gl_1169,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1169.jpg,,
training_glioma_Tr-gl_117,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_117.jpg,,
training_glioma_Tr-gl_1170,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1170.jpg,,
training_glioma_Tr-gl_1171,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1171.jpg,,
training_glioma_Tr-gl_1172,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1172.jpg,,
training_glioma_Tr-gl_1173,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1173.jpg,,
training_glioma_Tr-gl_1174,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1174.jpg,,
training_glioma_Tr-gl_1175,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1175.jpg,,
training_glioma_Tr-gl_1176,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1176.jpg,,
training_glioma_Tr-gl_1177,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1177.jpg,,
training_glioma_Tr-gl_1178,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1178.jpg,,
training_glioma_Tr-gl_1179,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1179.jpg,,
training_glioma_Tr-gl_118,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_118.jpg,,
training_glioma_Tr-gl_1180,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1180.jpg,,
training_glioma_Tr-gl_1181,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1181.jpg,,
training_glioma_Tr-gl_1182,/Users/zak/university/e-health/data/brain_tumor_mri_dataset/Training/glioma/Tr-gl_1182.jpg,,
